ENSMUSG00000104478,2755
ENSMUSG00000104385,662
ENSMUSG00000101231,177
ENSMUSG00000102135,7029
ENSMUSG00000103282,29
ENSMUSG00000101097,1868
ENSMUSG00000100764,1101
ENSMUSG00000102534,324
ENSMUSG00000100831,1126
ENSMUSG00000100884,186
ENSMUSG00000100635,611
ENSMUSG00000102213,158
ENSMUSG00000100480,498
ENSMUSG00000089037,129
ENSMUSG00000103629,1302
ENSMUSG00002076531,284
ENSMUSG00000100025,1722
ENSMUSG00000051285,46963
ENSMUSG00000098201,387
ENSMUSG00000103509,4027
ENSMUSG00000048538,1298
ENSMUSG00000103709,177
ENSMUSG00000077244,129
ENSMUSG00000102768,1011
ENSMUSG00000097797,23746
ENSMUSG00000103498,1314
ENSMUSG00000103067,20181
ENSMUSG00000102320,285
ENSMUSG00000104226,2094
ENSMUSG00000103903,880
ENSMUSG00000103557,1704
ENSMUSG00000026312,78364
ENSMUSG00000100290,537
ENSMUSG00000100758,927
ENSMUSG00000099926,812
ENSMUSG00000039748,9586
ENSMUSG00000118715,106
ENSMUSG00000104158,1612
ENSMUSG00000103540,1943
ENSMUSG00000057363,58855
ENSMUSG00000047216,58134
ENSMUSG00000102788,2995
ENSMUSG00000102160,2758
ENSMUSG00000101253,60955
ENSMUSG00000101846,780
ENSMUSG00000090243,1278
ENSMUSG00000100701,544
ENSMUSG00000100555,2841
ENSMUSG00000101395,815
ENSMUSG00000102728,401
ENSMUSG00000088848,124
ENSMUSG00002075225,109
ENSMUSG00000038702,3655
ENSMUSG00000101875,573
ENSMUSG00000099732,7674
ENSMUSG00000101220,837
ENSMUSG00000100020,664
ENSMUSG00000101054,668
ENSMUSG00000088691,135
ENSMUSG00000099884,2143
ENSMUSG00000100304,1389
ENSMUSG00000101453,1025
ENSMUSG00000102105,537
ENSMUSG00000099943,735
ENSMUSG00002075119,133
ENSMUSG00000097648,72749
ENSMUSG00000101687,573
ENSMUSG00000100515,10536
ENSMUSG00000055214,224417
ENSMUSG00000078184,1337
ENSMUSG00000104363,1644
ENSMUSG00000103277,2434
ENSMUSG00000104157,3556
ENSMUSG00000102446,516
ENSMUSG00000104248,3565
ENSMUSG00000104021,97162
ENSMUSG00000103471,661
ENSMUSG00000087875,107
ENSMUSG00000033007,23774
ENSMUSG00000070695,902567
ENSMUSG00000025909,535943
ENSMUSG00002076179,71
ENSMUSG00000102033,399
ENSMUSG00000102647,2531
ENSMUSG00000086235,399
ENSMUSG00000102253,3533
ENSMUSG00002074990,109
ENSMUSG00000094429,20427
ENSMUSG00000103884,1163
ENSMUSG00000084353,239
ENSMUSG00000103933,197
ENSMUSG00002075967,109
ENSMUSG00000086195,339
ENSMUSG00000104504,339
ENSMUSG00000066693,625
ENSMUSG00000102316,1049
ENSMUSG00000103819,517
ENSMUSG00000102871,3258
ENSMUSG00000101571,1914
ENSMUSG00000104428,635
ENSMUSG00000102272,1169
ENSMUSG00000065625,102
ENSMUSG00000103411,2184
ENSMUSG00000061024,2047
ENSMUSG00000102030,25765
ENSMUSG00000025911,20895
ENSMUSG00000081441,1101
ENSMUSG00000067879,25944
ENSMUSG00000099827,1327
ENSMUSG00000057335,30427
ENSMUSG00000103634,1418
ENSMUSG00000104154,1894
ENSMUSG00000103435,4359
ENSMUSG00000065573,98
ENSMUSG00002076271,264
ENSMUSG00000100551,240
ENSMUSG00000100357,1698
ENSMUSG00000025912,17746
ENSMUSG00000045210,29760
ENSMUSG00000041763,33999
ENSMUSG00000026504,108997
ENSMUSG00000103367,338
ENSMUSG00000103584,159
ENSMUSG00002076339,79
ENSMUSG00000102475,834
ENSMUSG00000047343,9218
ENSMUSG00000102211,723
ENSMUSG00000087082,4712
ENSMUSG00000090106,179
ENSMUSG00000103251,2209
ENSMUSG00000091844,14929
ENSMUSG00000026483,106605
ENSMUSG00000082528,1675
ENSMUSG00000082012,789
ENSMUSG00000099996,2098
ENSMUSG00000101763,399
ENSMUSG00000100827,107730
